상가업소번호,상호명,지점명,업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명,시군구명,행정동코드,행정동명,법정동명,지번주소,도로명주소,경도,위도
MA0101202409A0152242,온유브로우,,S2,수리·개인,S207,이용·미용,S20703,네일숍,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 472-47,경상북도 경주시 황성로 21-3,129.213731540665,35.8652240378662
MA0101202409A0204135,경주화로,,I2,음식,I201,한식,I20101,백반/한정식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 269-16,경상북도 경주시 황성로64번길 9-3,129.218291498964,35.8675817074368
MA0101202409A0212560,청춘,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1022-1,경상북도 경주시 황성공원로 29,129.209076901947,35.8606423556544
MA0101202409A0222558,황성상점,,I2,음식,I212,비알코올 ,I21201,카페,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 521-75,경상북도 경주시 황성로1번길 23-6,129.213193128716,35.8657655768179
MA0101202409A0224985,입주청소,,N1,시설관리·임대,N102,청소·방제,N10201,건축물 일반 청소업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1067-10,경상북도 경주시 광중길 11,129.224389078774,35.8793896452749
MA0101202409A0225501,보문,,I2,음식,I203,일식,I20301,일식 회/초밥,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 470,경상북도 경주시 황성로16번길 7,129.214375068883,35.8644823291402
MA0101202409A0232539,"그집,네일",,S2,수리·개인,S207,이용·미용,S20703,네일숍,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 472-41,경상북도 경주시 황성로 21-4,129.213846439074,35.865375096684
MA0101202409A0240007,제주명가,,I2,음식,I201,한식,I20101,백반/한정식,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 507-2,경상북도 경주시 황성로 35-5,129.214512673859,35.8666422905375
MA0101202409A0246294,세븐경주황성스타점,코리아,G2,소매,G204,종합 소매,G20405,편의점,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 302-22,경상북도 경주시 황성로16번길 36,129.216883616223,35.8627420874013
MA0101202409A0247248,미촨랭,,I2,음식,I202,중식,I20201,중국집,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1253,경상북도 경주시 현진앞3길 19,129.222915172533,35.8829039587881
MA0101202409A0251746,다온학원,,P1,교육,P105,일반 교육,P10501,입시·교과학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 930,경상북도 경주시 용담로 104,129.210781100642,35.8646116221633
MA0101202409A0260232,프롬아트미술교습소,,P1,교육,P106,기타 교육,P10611,미술학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 537-10,경상북도 경주시 용담로116번길 49-11,129.211284724178,35.8687921931348
MA0101202409A0263917,강한수학학원,,P1,교육,P105,일반 교육,P10501,입시·교과학원,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 441-8,경상북도 경주시 용담로 84,129.212596649921,35.8638213083929
MA0101202411A0010772,보아스시스템,,N1,시설관리·임대,N102,청소·방제,N10201,건축물 일반 청소업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 859-3,경상북도 경주시 유림로33번길 18,129.216452809036,35.8723100805339
MA0101202411A0012107,조은바스,,G2,소매,G210,철물·건설자재 소매,G21099,기타 건설/건축자재 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 197-1,경상북도 경주시 갓뒤길 23,129.218235274998,35.8715202909084
MA0101202411A0040699,이루팜경주점,,I2,음식,I212,비알코올 ,I21201,카페,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 1176,경상북도 경주시 현진앞3길 50,129.219509537928,35.8826696245442
MA0101202411A0040863,유월의상점,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,경주시,47130621,황성동,황성동,경상북도 경주시 황성동 499-9,경상북도 경주시 황성로 43,129.215698280589,35.8666834926871
