상가업소번호,상호명,지점명,업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명,시군구명,행정동코드,행정동명,법정동명,지번주소,도로명주소,경도,위도
MA010120220804679173,동강1번지래프팅,,R1,예술·스포츠,R104,유원지·오락,R10409,수상/해양 레저업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 230,강원특별자치도 영월군 영월읍 섭새길 71-5,128.512628820022,37.2323737731502
MA010120220804679220,우성참숯갈비,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 187-14,강원특별자치도 영월군 영월읍 중앙1로 16,128.465883760877,37.1825704281267
MA010120220804679227,한반도래프팅,,N1,시설관리·임대,N110,가정용품 대여,N11001,스포츠/레크리에이션 용품 대여업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 222,강원특별자치도 영월군 영월읍 섭새길 78-9,128.513667830151,37.2308018305691
MA010120220804679230,썸머cool레포츠,,R1,예술·스포츠,R104,유원지·오락,R10409,수상/해양 레저업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 1612-12,강원특별자치도 영월군 영월읍 동강로 241,128.506362293391,37.2017037294554
MA010120220804679233,미성식당,,I2,음식,I201,한식,I20101,백반/한정식,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 574-45,강원특별자치도 영월군 영월읍 덕포시장길 21-3,128.477229826207,37.1817627643905
MA010120220804679234,붕붕오토카써비스,,S2,수리·개인,S203,자동차 수리·세차,S20301,자동차 정비소,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 702-9,강원특별자치도 영월군 영월읍 중앙로 267,128.479634472917,37.168803778695
MA010120220804679236,법무사원정호사무소,,M1,과학·기술,M103,법무관련 ,M10303,법무사,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 863,강원특별자치도 영월군 영월읍 영월향교1길 9,128.472523125681,37.1846684400771
MA010120220804679237,다디딤,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 8-1,강원특별자치도 영월군 영월읍 하송안길 70-4,128.466566065531,37.181751106187
MA010120220804679245,동남자동차운전전문학원,,P1,교육,P106,기타 교육,P10623,운전학원,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 801-17,강원특별자치도 영월군 영월읍 중앙로 224-21,128.476857973807,37.1724963791767
MA010120220804679263,이벤트플랜,,N1,시설관리·임대,N108,기타 사업 서비스,N10802,전시/컨벤션/행사 대행 서비스업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 698-3,강원특별자치도 영월군 영월읍 중앙로 253,128.47917137606,37.169881721299
MA010120220804679268,탑레포츠,,R1,예술·스포츠,R104,유원지·오락,R10409,수상/해양 레저업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 삼옥리 939-7,강원특별자치도 영월군 영월읍 섭새길 49,128.510384581473,37.2322762878464
MA010120220804679312,불로군불족발영월점,,I2,음식,I201,한식,I20103,족발/보쌈,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 408,강원특별자치도 영월군 영월읍 하송로 151,128.457154903088,37.176605543945
MA010120220804679349,우리약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 245-3,강원특별자치도 영월군 영월읍 하송로 45,128.463937123906,37.1838108160212
MA010120220804679353,초원식당,,I2,음식,I201,한식,I20101,백반/한정식,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 1064-4,강원특별자치도 영월군 영월읍 단종로 48,128.465778038024,37.1870045286488
MA010120220804679361,청록다방,,I2,음식,I212,비알코올 ,I21201,카페,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 940-2,강원특별자치도 영월군 영월읍 중앙로 58,128.470043201709,37.1833748098936
MA010120220804679365,더블루하우스,,I1,숙박,I101,일반 숙박,I10102,여관/모텔,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 문산리 366,강원특별자치도 영월군 영월읍 동강로 1488-108,128.528184940765,37.265617578492
